,State_Name,DFSI
Patna,BIHAR,19.3005641
Murshidabad,WEST BENGAL,18.91088377
Thane,MAHARASHTRA,18.86178924
Guntur,ANDHRA PRADESH,18.83206907
North Twenty Four Pargan*,WEST BENGAL,18.77053767
Nagpur,MAHARASHTRA,18.68711359
Purba Medinipur,WEST BENGAL,18.37042595
Lakhimpur,ASSAM,18.33746571
Gorakhpur,UTTAR PRADESH,18.3025756
Purba Champaran,BIHAR,18.2957876
Kota,RAJASTHAN,18.28899124
Muzaffarpur,BIHAR,18.2870159
Ballia,UTTAR PRADESH,18.28241258
Maldah,WEST BENGAL,18.25813003
Aurangabad,BIHAR,18.25510246
Rajkot,GUJARAT,18.23927455
Cachar,ASSAM,18.14045692
Ahmadabad,GUJARAT,18.11712236
Aurangabad,BIHAR,18.09924753
Bahraich,UTTAR PRADESH,18.07735296
Dibrugarh,ASSAM,18.0682327
Prayagraj,UTTAR PRADESH,18.06694088
Chamoli,UTTARAKHAND,18.05798994
Darjiling,WEST BENGAL,18.01898149
Jalpaiguri,WEST BENGAL,18.00303603
Azamgarh,UTTAR PRADESH,17.95128913
Pashchim Champaran,BIHAR,17.9293385
Amravati,MAHARASHTRA,17.90770735
Medinipur West,WEST BENGAL,17.86904564
Samastipur,BIHAR,17.7619943
Darbhanga,BIHAR,17.74461914
Alappuzha,KERALA,17.72546197
Surat,GUJARAT,17.68686725
Kachchh,GUJARAT,17.66899888
Shimla,HIMACHAL PRADESH,17.62264694
Bhagalpur,BIHAR,17.60448649
Madhubani,BIHAR,17.60431905
Raigarh,CHHATTISGARH,17.57075811
Bharuch,GUJARAT,17.56894676
Nanded,MAHARASHTRA,17.55987139
Hamirpur,UTTAR PRADESH,17.53682759
Nadia,WEST BENGAL,17.53450009
Dhemaji,ASSAM,17.53199491
Pune,MAHARASHTRA,17.52481198
Kamrup,ASSAM,17.51092317
Sitapur,UTTAR PRADESH,17.50422681
Deoria,UTTAR PRADESH,17.49166827
Kheri,UTTAR PRADESH,17.48620569
Hooghly,WEST BENGAL,17.48618759
Agra,UTTAR PRADESH,17.46347311
Ganjam,ODISHA,17.46172971
Cuttack,ODISHA,17.44880794
Begusarai,BIHAR,17.41078093
Katihar,BIHAR,17.36172599
Thiruvananthapuram,KERALA,17.35036532
Bankura,WEST BENGAL,17.31955292
Baleshwar,ODISHA,17.31748222
Malappuram,KERALA,17.30205289
Raigarh,CHHATTISGARH,17.30191367
Sawai Madhopur,RAJASTHAN,17.29473115
Nagaon,ASSAM,17.2389526
Kurnool,ANDHRA PRADESH,17.23812651
Basti,UTTAR PRADESH,17.21470157
Varanasi,UTTAR PRADESH,17.20928123
Visakhapatnam,ANDHRA PRADESH,17.20674881
Thrissur,KERALA,17.20070154
Bara Banki,UTTAR PRADESH,17.20010241
Karimganj,ASSAM,17.19490183
Tinsukia,ASSAM,17.19138563
Kottayam,KERALA,17.17757332
Pratapgarh,UTTAR PRADESH,17.17632254
Saran,BIHAR,17.16388922
Hamirpur,UTTAR PRADESH,17.14078997
Kolhapur,MAHARASHTRA,17.13356636
Bharatpur,RAJASTHAN,17.13124271
Supaul,BIHAR,17.11127858
Kannur,KERALA,17.10860523
Barpeta,ASSAM,17.07215528
Khagaria,BIHAR,17.06746438
Etawah,UTTAR PRADESH,17.06708649
Jammu,JAMMU & KASHMIR,17.04632553
Cooch Behar,WEST BENGAL,17.04587802
Saharanpur,UTTAR PRADESH,17.0414068
Ratnagiri,MAHARASHTRA,17.0254424
East Godavari,ANDHRA PRADESH,17.02182399
Saharsa,BIHAR,17.01851799
Thanjavur,TAMIL NADU,16.98285416
Meerut,UTTAR PRADESH,16.97784468
Howrah,WEST BENGAL,16.96376285
Pithoragarh,UTTARAKHAND,16.95882245
Junagadh,GUJARAT,16.930629
Gonda,UTTAR PRADESH,16.92731274
Jaipur,RAJASTHAN,16.92120025
Sonitpur,ASSAM,16.91826854
Sivasagar,ASSAM,16.91815517
Uttarkashi,UTTARAKHAND,16.91446798
Parbhani,MAHARASHTRA,16.90648398
Ernakulam,KERALA,16.88354555
Kullu,HIMACHAL PRADESH,16.87440433
Lucknow,UTTAR PRADESH,16.85865856
Faizabad,UTTAR PRADESH,16.85165549
Kozhikode,KERALA,16.80782668
Goalpara,ASSAM,16.80570811
Jorhat,ASSAM,16.78312101
Rudraprayag,UTTARAKHAND,16.76850436
Gopalganj,BIHAR,16.76771703
Raichur,KARNATAKA,16.75793281
Patiala,PUNJAB,16.73168616
Palakkad,KERALA,16.72468098
Vaishali,BIHAR,16.69942915
Ballari,KARNATAKA,16.68777601
Jodhpur,RAJASTHAN,16.68515856
Uttara Kannada,KARNATAKA,16.67968268
Jaunpur,UTTAR PRADESH,16.67693935
Dakshina Kannada,KARNATAKA,16.6725249
Balaghat,MADHYA PRADESH,16.63021864
Chennai,TAMIL NADU,16.62215635
Pratapgarh,UTTAR PRADESH,16.61975367
Birbhum,WEST BENGAL,16.58841394
Sitamarhi,BIHAR,16.54083412
Chandrapur,MAHARASHTRA,16.53021365
Tiruchirappalli,TAMIL NADU,16.50754635
Golaghat,ASSAM,16.50027274
Aligarh,UTTAR PRADESH,16.49352826
Darrang,ASSAM,16.49301021
Sindhudurg,MAHARASHTRA,16.48929417
Bareilly,UTTAR PRADESH,16.48570301
Jalaun,UTTAR PRADESH,16.47859048
Solapur,MAHARASHTRA,16.46425713
Bikaner,RAJASTHAN,16.45752313
Aurangabad,MAHARASHTRA,16.45344402
Munger,BIHAR,16.45302713
Muzaffarnagar,UTTAR PRADESH,16.4343597
Ghazipur,UTTAR PRADESH,16.43397417
Dhubri,ASSAM,16.41641937
West Godavari,ANDHRA PRADESH,16.38794982
Barmer,RAJASTHAN,16.36665709
Mathura,UTTAR PRADESH,16.36012949
Purnia,BIHAR,16.34151937
Dehradun,UTTARAKHAND,16.33139418
Nawada,BIHAR,16.3297611
Bid,MAHARASHTRA,16.32719549
Amritsar,PUNJAB,16.32619833
Aurangabad,MAHARASHTRA,16.29758909
Balrampur,UTTAR PRADESH,16.27389015
Kalaburagi,KARNATAKA,16.27130404
Hardoi,UTTAR PRADESH,16.24635852
Dakshin Dinajpur,WEST BENGAL,16.24360817
Unnao,UTTAR PRADESH,16.23017775
Raigarh,MAHARASHTRA,16.20634326
Jalgaon,MAHARASHTRA,16.20376622
Moradabad,UTTAR PRADESH,16.17046865
Nalanda,BIHAR,16.16893638
Bulandshahr,UTTAR PRADESH,16.15674263
Mandi,HIMACHAL PRADESH,16.14516632
Araria,BIHAR,16.13937555
Wayanad,KERALA,16.13548334
Jalandhar,PUNJAB,16.1263494
Kasaragod,KERALA,16.12279423
Budaun,UTTAR PRADESH,16.11888766
Firozabad,UTTAR PRADESH,16.0850132
Mirzapur,UTTAR PRADESH,16.08213688
Banda,UTTAR PRADESH,16.05990081
Kanpur Dehat,UTTAR PRADESH,16.0560769
Sultanpur,UTTAR PRADESH,16.05580169
Gaya,BIHAR,16.04706596
Kanpur Nagar,UTTAR PRADESH,16.03703258
Alwar,RAJASTHAN,16.03551355
Gadchiroli,MAHARASHTRA,16.02838732
Hamirpur,HIMACHAL PRADESH,16.00618676
Vadodara,GUJARAT,15.99449884
Pathanamthitta,KERALA,15.99382361
Pali,RAJASTHAN,15.97650077
Vizianagaram,ANDHRA PRADESH,15.96100153
Kolkata,WEST BENGAL,15.9573362
Krishna,ANDHRA PRADESH,15.95732408
Siwan,BIHAR,15.9418281
Jalor,RAJASTHAN,15.94100882
Wardha,MAHARASHTRA,15.93909113
Raigarh,MAHARASHTRA,15.93749882
Morigaon,ASSAM,15.89431047
Fatehpur,UTTAR PRADESH,15.8800279
Tonk,RAJASTHAN,15.83401341
Bundi,RAJASTHAN,15.82948386
Kangra,HIMACHAL PRADESH,15.8277972
Surendranagar,GUJARAT,15.82720288
Kishanganj,BIHAR,15.81814369
Coimbatore,TAMIL NADU,15.81294136
Nashik,MAHARASHTRA,15.81075585
Shahjahanpur,UTTAR PRADESH,15.81073843
Bhandara,MAHARASHTRA,15.80653465
Balrampur,UTTAR PRADESH,15.79530013
Kheda,GUJARAT,15.78066418
Hailakandi,ASSAM,15.76716147
Bhojpur,BIHAR,15.75200784
Prakasam,ANDHRA PRADESH,15.73768723
Dharwad,KARNATAKA,15.72960889
Balrampur,CHHATTISGARH,15.71565822
Bengaluru Rural,KARNATAKA,15.69370159
Pratapgarh,RAJASTHAN,15.69178816
Jhansi,UTTAR PRADESH,15.68486628
Amreli,GUJARAT,15.68483276
Cuddalore,TAMIL NADU,15.66204998
Bilaspur,CHHATTISGARH,15.63453017
Ajmer,RAJASTHAN,15.62689501
Hamirpur,HIMACHAL PRADESH,15.61014914
Madurai,TAMIL NADU,15.60272731
Madhepura,BIHAR,15.59334276
Akola,MAHARASHTRA,15.57836423
Gurdaspur,PUNJAB,15.56598261
Koraput,ODISHA,15.56026976
Bhilwara,RAJASTHAN,15.55802277
Banas Kantha,GUJARAT,15.55766278
Nalbari,ASSAM,15.55185249
Kinnaur,HIMACHAL PRADESH,15.54973135
Valsad,GUJARAT,15.54742137
Ramanathapuram,TAMIL NADU,15.5154026
Nagapattinam,TAMIL NADU,15.51054704
Mysuru,KARNATAKA,15.49929207
Viluppuram,TAMIL NADU,15.45870003
Churu,RAJASTHAN,15.45760982
Kannauj,UTTAR PRADESH,15.44932496
Bangalore,KARNATAKA,15.43924212
Sangli,MAHARASHTRA,15.43845127
Bijapur,CHHATTISGARH,15.43820582
Rohtas,BIHAR,15.41527014
Bilaspur,HIMACHAL PRADESH,15.41347826
Mainpuri,UTTAR PRADESH,15.40304891
Amethi,UTTAR PRADESH,15.387214
Pilibhit,UTTAR PRADESH,15.3778457
Aizawl,MIZORAM,15.37386235
Karbi Anglong,ASSAM,15.36202196
Navsari,GUJARAT,15.33375022
Purba Bardhaman,WEST BENGAL,15.32166631
Anantapur,ANDHRA PRADESH,15.32025572
Sri Potti Sriramulu Nell*,ANDHRA PRADESH,15.30583557
Ludhiana,PUNJAB,15.29530674
Srikakulam,ANDHRA PRADESH,15.26104934
Balrampur,CHHATTISGARH,15.2370682
Kendrapara,ODISHA,15.21487322
Bidar,KARNATAKA,15.21026316
Kendujhar,ODISHA,15.1904768
Banka,BIHAR,15.16369521
Sambhal,UTTAR PRADESH,15.16065953
West Nimar,MADHYA PRADESH,15.1525421
Ganganagar,RAJASTHAN,15.14673799
Punch,JAMMU & KASHMIR,15.13979186
Sambalpur,ODISHA,15.13820085
Gautam Buddha Nagar,UTTAR PRADESH,15.1379273
Pratapgarh,RAJASTHAN,15.13521928
South Twenty Four Pargan*,WEST BENGAL,15.12556501
Kasganj,UTTAR PRADESH,15.10167008
Puri,ODISHA,15.10138818
Mumbai,MAHARASHTRA,15.09632228
Jaisalmer,RAJASTHAN,15.08038227
Gadag,KARNATAKA,15.07788311
Kokrajhar,ASSAM,15.04546818
Baran,RAJASTHAN,15.03916048
Sirsa,HARYANA,15.03133711
Bijnor,UTTAR PRADESH,15.02946506
Bhadrak,ODISHA,15.01748886
Mayurbhanj,ODISHA,15.01661216
Buxar,BIHAR,15.01252576
Bilaspur,CHHATTISGARH,15.01006326
Bongaigaon,ASSAM,15.00163184
Baramula,JAMMU & KASHMIR,14.99994483
Jalna,MAHARASHTRA,14.99289719
Lakhisarai,BIHAR,14.98915106
Sheohar,BIHAR,14.98702658
Farrukhabad,UTTAR PRADESH,14.97549178
Belagavi,KARNATAKA,14.97463069
Kaimur (bhabua),BIHAR,14.97113697
Chittoor,ANDHRA PRADESH,14.96853199
Amroha,UTTAR PRADESH,14.96434064
Kalahandi,ODISHA,14.95201813
Firozpur,PUNJAB,14.94646918
Patan,GUJARAT,14.91649272
Chamba,HIMACHAL PRADESH,14.89530724
Ghaziabad,UTTAR PRADESH,14.89486164
Bhavnagar,GUJARAT,14.86671025
Salem,TAMIL NADU,14.86457237
Etah,UTTAR PRADESH,14.85722298
Tiruvannamalai,TAMIL NADU,14.85301299
Mahesana,GUJARAT,14.85260956
Baksa,ASSAM,14.85212927
Haveri,KARNATAKA,14.84670195
Jehanabad,BIHAR,14.84221031
Hisar,HARYANA,14.84156814
Dhenkanal,ODISHA,14.8322836
Idukki,KERALA,14.83032034
Palghar,MAHARASHTRA,14.82102065
Sirmaur,HIMACHAL PRADESH,14.80632936
Yadgir,KARNATAKA,14.80416482
Raisen,MADHYA PRADESH,14.79397335
Uttar Dinajpur,WEST BENGAL,14.79290257
Bilaspur,HIMACHAL PRADESH,14.78901134
Buldana,MAHARASHTRA,14.77839941
West Tripura,TRIPURA,14.77717187
Rewa,MADHYA PRADESH,14.76859583
Garhwal,UTTARAKHAND,14.76356078
Anantnag,JAMMU & KASHMIR,14.75646676
Raipur,CHHATTISGARH,14.75386081
Chandauli,UTTAR PRADESH,14.75193731
Anand,GUJARAT,14.75043282
Kandhamal,ODISHA,14.72473012
Hojai,ASSAM,14.6887034
Kollam,KERALA,14.68786518
Sagar,MADHYA PRADESH,14.67359769
Pulwama,JAMMU & KASHMIR,14.65315351
Sant Kabir Nagar,UTTAR PRADESH,14.63892367
Erode,TAMIL NADU,14.63708614
Shrawasti,UTTAR PRADESH,14.63605482
Jajapur,ODISHA,14.63466026
Mandya,KARNATAKA,14.62688325
Auraiya,UTTAR PRADESH,14.61332986
Rampur,UTTAR PRADESH,14.61182068
Jhalawar,RAJASTHAN,14.60856401
Arwal,BIHAR,14.60179082
Kodagu,KARNATAKA,14.59323258
Chitradurga,KARNATAKA,14.58611459
Rae Bareli,UTTAR PRADESH,14.57834391
Shivamogga,KARNATAKA,14.57336747
Davanagere,KARNATAKA,14.56712063
Udalguri,ASSAM,14.55326952
Rupnagar,PUNJAB,14.55015296
Kolar,KARNATAKA,14.53218953
Kushinagar,UTTAR PRADESH,14.52573167
Panch Mahals,GUJARAT,14.51254198
Solan,HIMACHAL PRADESH,14.5046021
Charaideo,ASSAM,14.49848319
Doda,JAMMU & KASHMIR,14.48766653
Yavatmal,MAHARASHTRA,14.48260719
Chitrakoot,UTTAR PRADESH,14.47986865
Upper Siang,ARUNACHAL PRADESH,14.46874306
Jabalpur,MADHYA PRADESH,14.467792
Koppal,KARNATAKA,14.4652888
Kaushambi,UTTAR PRADESH,14.46272452
Dindigul,TAMIL NADU,14.46050498
Hassan,KARNATAKA,14.45235914
Kapurthala,PUNJAB,14.43707792
Sikar,RAJASTHAN,14.43374454
Bathinda,PUNJAB,14.4324391
Sirohi,RAJASTHAN,14.41496759
Ambala,HARYANA,14.40393673
Biswanath,ASSAM,14.37784693
Ambedkar Nagar,UTTAR PRADESH,14.34664677
Hoshiarpur,PUNJAB,14.34507615
Mau,UTTAR PRADESH,14.34490906
Adilabad,TELANGANA,14.34083765
Chengalpattu,TAMIL NADU,14.33882556
Chirang,ASSAM,14.32717707
Dhaulpur,RAJASTHAN,14.32286935
Gir Somnath,GUJARAT,14.31925727
Y.S.R.,ANDHRA PRADESH,14.31585622
Porbandar,GUJARAT,14.31098938
Badgam,JAMMU & KASHMIR,14.28259356
Indore,MADHYA PRADESH,14.27647479
Latur,MAHARASHTRA,14.27193988
Rajouri,JAMMU & KASHMIR,14.26711792
Mahrajganj,UTTAR PRADESH,14.24670267
Udhampur,JAMMU & KASHMIR,14.21953874
West Siang,ARUNACHAL PRADESH,14.20693182
Sundargarh,ODISHA,14.20170419
Ranchi,JHARKHAND,14.19712
Satara,MAHARASHTRA,14.19643832
The Dangs,GUJARAT,14.19302758
Sangrur,PUNJAB,14.18362692
The Nilgiris,TAMIL NADU,14.18152152
Nainital,UTTARAKHAND,14.17404359
Paschim Bardhaman,WEST BENGAL,14.1674848
Gandhinagar,GUJARAT,14.15049572
Nayagarh,ODISHA,14.14761178
Nandurbar,MAHARASHTRA,14.13588357
Karnal,HARYANA,14.13033978
South Salmara Mancachar,ASSAM,14.08872887
Jamui,BIHAR,14.0807807
Baghpat,UTTAR PRADESH,14.06001426
Reasi,JAMMU & KASHMIR,14.0472509
