,State_Name,DFSI
Ujjain,MADHYA PRADESH,14.0280024
Shamli,UTTAR PRADESH,14.02447752
Thiruvarur,TAMIL NADU,13.98087719
Bhadohi,UTTAR PRADESH,13.97963208
Ganderbal,JAMMU & KASHMIR,13.9688644
Chhindwara,MADHYA PRADESH,13.95524381
Sheikhpura,BIHAR,13.95297438
Hapur,UTTAR PRADESH,13.94663413
Morena,MADHYA PRADESH,13.93928251
Sabar Kantha,GUJARAT,13.9356837
East Siang,ARUNACHAL PRADESH,13.92916282
Tehri Garhwal,UTTARAKHAND,13.92891133
Chikkamagaluru,KARNATAKA,13.92807229
Krishnagiri,TAMIL NADU,13.91561676
Nagaur,RAJASTHAN,13.91402188
Vellore,TAMIL NADU,13.90970071
Puruliya,WEST BENGAL,13.90934184
Dhule,MAHARASHTRA,13.90537921
Pudukkottai,TAMIL NADU,13.88705312
Virudhunagar,TAMIL NADU,13.88461132
Vidisha,MADHYA PRADESH,13.87908452
Khammam,TELANGANA,13.87620714
Bhiwani,HARYANA,13.86118152
Jamnagar,GUJARAT,13.85596092
Kishtwar,JAMMU & KASHMIR,13.85162013
Khordha,ODISHA,13.84960211
Papum Pare,ARUNACHAL PRADESH,13.81967018
West Karbi Anglong,ASSAM,13.7925604
Dima Hasao,ASSAM,13.78568273
Rayagada,ODISHA,13.7783533
Ahmadnagar,MAHARASHTRA,13.74418064
Guna,MADHYA PRADESH,13.74094904
East District,SIKKIM,13.73385578
Jind,HARYANA,13.73139663
Majuli,ASSAM,13.73119883
Rohtak,HARYANA,13.71017287
Hoshangabad,MADHYA PRADESH,13.70624137
Thiruvallur,TAMIL NADU,13.67387525
Balangir,ODISHA,13.66382937
Leh,LADAKH,13.64846403
Narmada,GUJARAT,13.62441448
Sehore,MADHYA PRADESH,13.62429755
Morbi,GUJARAT,13.62129133
Bargarh,ODISHA,13.61408766
Hathras,UTTAR PRADESH,13.5656897
Dewas,MADHYA PRADESH,13.55760708
Banswara,RAJASTHAN,13.54361334
Aravalli,GUJARAT,13.532493
Warangal Rural,TELANGANA,13.50247234
Betul,MADHYA PRADESH,13.47459154
Kancheepuram,TAMIL NADU,13.47009655
Kaithal,HARYANA,13.45663716
Kathua,JAMMU & KASHMIR,13.45340587
North Tripura,TRIPURA,13.42516473
Chikkaballapura,KARNATAKA,13.40917972
Botad,GUJARAT,13.38562959
Kallakurichi,TAMIL NADU,13.37362368
Tawang,ARUNACHAL PRADESH,13.36546955
Udaipur,RAJASTHAN,13.34099914
Tiruppur,TAMIL NADU,13.33098339
Sonipat,HARYANA,13.321514
Karur,TAMIL NADU,13.30007273
Bastar,CHHATTISGARH,13.27418126
Medak,TELANGANA,13.27038093
Gondiya,MAHARASHTRA,13.25766875
Sivaganga,TAMIL NADU,13.24156938
Dausa,RAJASTHAN,13.21177453
Yamunanagar,HARYANA,13.20692809
Mahisagar,GUJARAT,13.18700405
Namakkal,TAMIL NADU,13.18644481
Nizamabad,TELANGANA,13.17878974
Warangal Urban,TELANGANA,13.16752282
Baudh,ODISHA,13.15602176
Ramban,JAMMU & KASHMIR,13.13604914
Bhind,MADHYA PRADESH,13.12199893
Rajnandgaon,CHHATTISGARH,13.11890704
Subarnapur,ODISHA,13.10276351
Tapi,GUJARAT,13.09605092
Ariyalur,TAMIL NADU,13.08980422
Gwalior,MADHYA PRADESH,13.08677154
Bandipore,JAMMU & KASHMIR,13.08377293
Faridabad,HARYANA,13.06379765
Ramanagara,KARNATAKA,13.05674039
Sonbhadra,UTTAR PRADESH,13.05618322
Palamu,JHARKHAND,13.05444301
Nuapada,ODISHA,13.03894863
Udupi,KARNATAKA,13.00851445
Mansa,PUNJAB,13.00543741
West Kameng,ARUNACHAL PRADESH,12.98857452
Tumakuru,KARNATAKA,12.98169946
Chamarajanagara,KARNATAKA,12.97624105
Dharmapuri,TAMIL NADU,12.96390692
Rajgarh,MADHYA PRADESH,12.96072877
Damoh,MADHYA PRADESH,12.95380747
Mahoba,UTTAR PRADESH,12.91710368
Kupwara,JAMMU & KASHMIR,12.91101562
East Khasi Hills,MEGHALAYA,12.89353158
Mumbai Suburban,MAHARASHTRA,12.89229519
Hanumangarh,RAJASTHAN,12.89135127
Srinagar,JAMMU & KASHMIR,12.88822133
Anugul,ODISHA,12.81414309
Udham Singh Nagar,UTTARAKHAND,12.81309583
Karauli,RAJASTHAN,12.7851348
Burhanpur,MADHYA PRADESH,12.77877889
Perambalur,TAMIL NADU,12.7683811
Devbhumi Dwarka,GUJARAT,12.76830739
Gajapati,ODISHA,12.73044551
Noney,MANIPUR,12.72849935
Fazilka,PUNJAB,12.7116554
Kurukshetra,HARYANA,12.69188176
Jhunjhunun,RAJASTHAN,12.68861844
Purbi Singhbhum,JHARKHAND,12.64556059
Ranipet,TAMIL NADU,12.6438143
Fatehabad,HARYANA,12.6080946
Faridkot,PUNJAB,12.56999902
Nalgonda,TELANGANA,12.52344957
Tirupathur,TAMIL NADU,12.51020877
North,DELHI,12.50551971
Dohad,GUJARAT,12.50521505
Bageshwar,UTTARAKHAND,12.47975857
Chhatarpur,MADHYA PRADESH,12.46082477
Karimnagar,TELANGANA,12.45059088
Tenkasi,TAMIL NADU,12.43860859
Mahabubnagar,TELANGANA,12.4135183
Ratlam,MADHYA PRADESH,12.36418042
Bagalkote,KARNATAKA,12.35226492
Seoni,MADHYA PRADESH,12.33817107
Jharsuguda,ODISHA,12.32235311
Dungarpur,RAJASTHAN,12.31518335
Alipurduar,WEST BENGAL,12.28715352
Hardwar,UTTARAKHAND,12.27589581
Osmanabad,MAHARASHTRA,12.27416815
Champawat,UTTARAKHAND,12.27313124
Narsimhapur,MADHYA PRADESH,12.27220713
Jagatsinghapur,ODISHA,12.26514761
Mahasamund,CHHATTISGARH,12.26337003
Moga,PUNJAB,12.24949427
West Khasi Hills,MEGHALAYA,12.23450446
Panipat,HARYANA,12.22965858
Lalitpur,UTTAR PRADESH,12.2270429
Vijayapura,KARNATAKA,12.22306824
Dhar,MADHYA PRADESH,12.22273568
Malkangiri,ODISHA,12.19886639
Unokoti,TRIPURA,12.19401853
Una,HIMACHAL PRADESH,12.18677758
Fatehgarh Sahib,PUNJAB,12.18387109
Barwani,MADHYA PRADESH,12.15779668
North  District,SIKKIM,12.12973351
West Garo Hills,MEGHALAYA,12.11627981
Thoothukkudi,TAMIL NADU,12.09985559
Kamrup Metropolitan,ASSAM,12.09266266
Rajsamand,RAJASTHAN,12.04507217
South West,DELHI,12.00489985
Hingoli,MAHARASHTRA,11.97195982
Tarn Taran,PUNJAB,11.93121168
Harda,MADHYA PRADESH,11.89018789
West District,SIKKIM,11.83245566
Theni,TAMIL NADU,11.77666103
Sri Muktsar Sahib,PUNJAB,11.77547464
Gomati,TRIPURA,11.77133231
Chota Udaipur,GUJARAT,11.77112915
Mandla,MADHYA PRADESH,11.73344604
Shupiyan,JAMMU & KASHMIR,11.71880923
North Goa,GOA,11.69334032
South Goa,GOA,11.68967796
Kargil,LADAKH,11.68835495
Bhopal,MADHYA PRADESH,11.67764066
Shivpuri,MADHYA PRADESH,11.66753341
Panchkula,HARYANA,11.64256371
Mulugu,TELANGANA,11.63966331
Jayashankar,TELANGANA,11.63604259
Shahid Bhagat Singh Nagar,PUNJAB,11.62316413
South Tripura,TRIPURA,11.61426029
Gurugram,HARYANA,11.61321849
Mandsaur,MADHYA PRADESH,11.60104316
Ribhoi,MEGHALAYA,11.56983751
Lohit,ARUNACHAL PRADESH,11.56588929
South District,SIKKIM,11.55917479
Central,DELHI,11.55603214
Kulgam,JAMMU & KASHMIR,11.54419082
Samba,JAMMU & KASHMIR,11.52362695
Kurung Kumey,ARUNACHAL PRADESH,11.51004499
Datia,MADHYA PRADESH,11.49240696
Panna,MADHYA PRADESH,11.46488111
Giridih,JHARKHAND,11.4620587
Thoubal,MANIPUR,11.46109994
Durg,CHHATTISGARH,11.38735884
Katni,MADHYA PRADESH,11.37630253
Kamareddy,TELANGANA,11.36523592
Singrauli,MADHYA PRADESH,11.28687631
Lunglei,MIZORAM,11.27188114
Lawngtlai,MIZORAM,11.26658585
Champhai,MIZORAM,11.25372749
Changlang,ARUNACHAL PRADESH,11.2516374
Ashoknagar,MADHYA PRADESH,11.23645823
Tamenglong,MANIPUR,11.22669913
Debagarh,ODISHA,11.20445318
Chatra,JHARKHAND,11.17251824
Sheopur,MADHYA PRADESH,11.16490428
Dhalai,TRIPURA,11.16118478
Godda,JHARKHAND,11.13291184
Upper Subansiri,ARUNACHAL PRADESH,11.12506516
Barnala,PUNJAB,11.10480781
Sahibganj,JHARKHAND,11.06901447
Gumla,JHARKHAND,11.05768003
Garhwa,JHARKHAND,11.04842383
Uttar Bastar Kanker,CHHATTISGARH,11.02543392
Kra Daadi,ARUNACHAL PRADESH,11.01656952
Kanniyakumari,TAMIL NADU,11.01336275
Lahul & Spiti,HIMACHAL PRADESH,10.96578019
West,DELHI,10.94354846
Khowai,TRIPURA,10.89652222
Tikamgarh,MADHYA PRADESH,10.89427204
Vikarabad,TELANGANA,10.89050529
Satna,MADHYA PRADESH,10.88894873
Sipahijala,TRIPURA,10.88742694
Narayanpet,TELANGANA,10.86687934
Pathankot,PUNJAB,10.84918348
South Garo Hills,MEGHALAYA,10.84393902
Shajapur,MADHYA PRADESH,10.84349368
Dindori,MADHYA PRADESH,10.83104981
Janjgir - Champa,CHHATTISGARH,10.79122987
Medchal Malkajgiri,TELANGANA,10.7860062
Surguja,CHHATTISGARH,10.75002165
Lower Subansiri,ARUNACHAL PRADESH,10.74706791
Washim,MAHARASHTRA,10.73497452
Jhajjar,HARYANA,10.71628018
East Garo Hills,MEGHALAYA,10.69682093
South West Garo Hills,MEGHALAYA,10.6710369
Neemuch,MADHYA PRADESH,10.66463696
Ramgarh,JHARKHAND,10.6273125
Rewari,HARYANA,10.59725109
Dumka,JHARKHAND,10.58480695
Namsai,ARUNACHAL PRADESH,10.56352689
Sidhi,MADHYA PRADESH,10.55668025
North Garo Hills,MEGHALAYA,10.4730136
Hyderabad,TELANGANA,10.46137049
Lower Dibang Valley,ARUNACHAL PRADESH,10.43514843
New Delhi,DELHI,10.39987233
Anjaw,ARUNACHAL PRADESH,10.33174641
Palwal,HARYANA,10.31095208
Pashchimi Singhbhum,JHARKHAND,10.30684115
Siang,ARUNACHAL PRADESH,10.30011377
Nabarangapur,ODISHA,10.29649051
Bhadradri Kothagudem,TELANGANA,10.29182082
Muzaffarabad,JAMMU & KASHMIR,10.25241888
Imphal East,MANIPUR,10.24548238
Jhabua,MADHYA PRADESH,10.24113163
Mungeli,CHHATTISGARH,10.21354302
Alirajpur,MADHYA PRADESH,10.19595043
Deoghar,JHARKHAND,10.19527152
Jogulamba Gadwal,TELANGANA,10.1376688
Mamit,MIZORAM,10.1127724
Khunti,JHARKHAND,10.05509462
Bokaro,JHARKHAND,10.05256047
Nagarkurnool,TELANGANA,10.02790622
Anuppur,MADHYA PRADESH,9.990783933
Mahabubabad,TELANGANA,9.98365425
Wanaparthy,TELANGANA,9.983597436
Nirmal,TELANGANA,9.977770353
Bametara,CHHATTISGARH,9.955955489
Mirpur,JAMMU & KASHMIR,9.948679415
Pakur,JHARKHAND,9.940192955
Nuh,HARYANA,9.922296093
Kalimpong,WEST BENGAL,9.916650214
Lohardaga,JHARKHAND,9.906912665
Suryapet,TELANGANA,9.901334244
Kolasib,MIZORAM,9.878909712
West Jaintia Hills,MEGHALAYA,9.874314593
Yadadri Bhuvanagiri,TELANGANA,9.860874627
Peddapalli,TELANGANA,9.845408483
Upper Dibang Valley,ARUNACHAL PRADESH,9.841545884
Saiha,MIZORAM,9.83880429
Mahendragarh,HARYANA,9.834091081
Imphal West,MANIPUR,9.824765631
Dadra & Nagar Haveli,DADRA & NAGAR HAVE,9.82021117
Puducherry,PUDUCHERRY,9.745259264
Dhamtari,CHHATTISGARH,9.737562775
Siddipet,TELANGANA,9.73699868
Siddharthnagar,UTTAR PRADESH,9.723990353
Serchhip,MIZORAM,9.723515037
Mancherial,TELANGANA,9.717544076
Jagitial,TELANGANA,9.679544394
East Jaintia Hills,MEGHALAYA,9.659986333
Niwari,MADHYA PRADESH,9.638222931
Charki Dadri,HARYANA,9.619373408
Lower Siang,ARUNACHAL PRADESH,9.609839788
Chittaurgarh,RAJASTHAN,9.59413596
Kohima,NAGALAND,9.592515435
Narayanpur,CHHATTISGARH,9.553762142
Ranga Reddy,TELANGANA,9.536145533
North East,DELHI,9.525736278
South West Khasi Hills,MEGHALAYA,9.505296324
Sangareddy,TELANGANA,9.492916178
South East,DELHI,9.482388752
Tirap,ARUNACHAL PRADESH,9.475632711
Korba,CHHATTISGARH,9.450878057
Phek,NAGALAND,9.433797711
Longding,ARUNACHAL PRADESH,9.380106399
Kamle,ARUNACHAL PRADESH,9.35748144
Zunheboto,NAGALAND,9.351020632
Pakke Kessang,ARUNACHAL PRADESH,9.274304467
East Nimar,MADHYA PRADESH,9.247723572
Baloda Bazar,CHHATTISGARH,9.197380869
Agar Malwa,MADHYA PRADESH,9.189893645
Jamtara,JHARKHAND,9.10884638
Shi Yomi,ARUNACHAL PRADESH,9.096398933
Jashpur,CHHATTISGARH,9.061379751
Kiphire,NAGALAND,9.050894491
North West,DELHI,8.981260027
Simdega,JHARKHAND,8.941168082
Dhanbad,JHARKHAND,8.927454084
Latehar,JHARKHAND,8.923637897
Dimapur,NAGALAND,8.881072109
Lepa Rada,ARUNACHAL PRADESH,8.713845098
Kumuram Bheem Asifabad,TELANGANA,8.660938497
Shahdol,MADHYA PRADESH,8.60611133
Koriya,CHHATTISGARH,8.592841992
Hazaribagh,JHARKHAND,8.551359146
Saraikela-kharsawan,JHARKHAND,8.535902649
Chandigarh,CHANDIGARH,8.44471967
Churachandpur,MANIPUR,8.41345168
Senapati,MANIPUR,8.399273632
Kabeerdham,CHHATTISGARH,8.386742164
Mon,NAGALAND,8.374345913
South Andaman,ANDAMAN & NICOBAR,8.360463034
Jangoan,TELANGANA,8.296947752
Umaria,MADHYA PRADESH,8.247551742
Shahdara,DELHI,8.206277742
Pherzawl,MANIPUR,8.073969242
Ukhrul,MANIPUR,8.053628266
Kangpokpi,MANIPUR,8.003936383
Kakching,MANIPUR,7.928141727
Peren,NAGALAND,7.9120892
Sukma,CHHATTISGARH,7.909024381
Chandel,MANIPUR,7.86577583
Jhargram,WEST BENGAL,7.851960066
Wokha,NAGALAND,7.815000445
Surajpur,CHHATTISGARH,7.792234031
Sahibzada Ajit Singh Nag*,PUNJAB,7.786181657
Mokokchung,NAGALAND,7.757549146
Jiribam,MANIPUR,7.702555125
Tuensang,NAGALAND,7.690746667
South,DELHI,7.686692946
Kondagaon,CHHATTISGARH,7.560307969
Tirunelveli,TAMIL NADU,7.541971
East Kameng,ARUNACHAL PRADESH,7.516648699
Kamjong,MANIPUR,7.479566995
North  & Middle Andaman,ANDAMAN & NICOBAR,7.46257474
Tengnoupal,MANIPUR,7.310092891
Gariaband,CHHATTISGARH,7.28532707
Dakshin Bastar Dantewada,CHHATTISGARH,7.263513107
"Almora
",UTTARAKHAND,7.102979288
Karaikal,PUDUCHERRY,7.016885975
Longleng,NAGALAND,6.923534921
Balod,CHHATTISGARH,6.814171814
Rajanna Sircilla,TELANGANA,6.285647596
Kodarma,JHARKHAND,5.936974084
Yanam,PUDUCHERRY,5.860381611
Bishnupur,MANIPUR,5.479314363
Daman,DAMAN & DIU,5.233750545
Lakshadweep,LAKSHADWEEP,4.858476899
Nicobars,ANDAMAN & NICOBAR,4.664727108
Diu,DAMAN & DIU,4.269141538
Mahe,PUDUCHERRY,4.24448458
East,DELHI,
